Time,Error,Angle
61846,4.823438,8.953343
61946,5.758594,10.14433
62046,4.626562,11.0201
62146,5.561719,12.17211
62246,4.921875,13.12977
62346,3.002344,13.63937
62447,1.870313,13.95485
62549,0.2460938,13.92597
62651,-0.0984375,13.88477
62753,-0.6890625,13.71854
62854,-1.378125,13.40922
62956,-2.214844,12.92613
63059,-3.248437,12.22654
63161,-4.33125,11.30744
63263,-5.709375,10.09968
63365,-7.432032,8.529406
63467,-7.333593,7.061108
63568,-4.429688,6.309547
63671,-7.136719,4.769855
63770,-8.416407,3.019025
63870,-8.170313,1.391381
63970,-9.646875,-0.6065423
64069,-10.13906,-2.662464
64167,-9.991405,-4.655888
64264,-9.942188,-6.641613
64360,-10.18828,-8.690787
64457,-10.33594,-10.76588
64552,-9.499218,-12.6257
64647,-8.367188,-14.2405
64741,-8.564062,-15.95839
64835,-8.514843,-17.65934
64930,-8.514843,-19.36216
65027,-8.810156,-21.13824
65122,-6.742969,-22.38753
65218,-5.90625,-23.52094
65315,-6.053906,-24.73513
65412,-5.11875,-25.71459
65509,-5.364843,-26.79592
65610,-6.447657,-28.13575
65706,-6.742969,-29.50223
65804,-8.317968,-31.24149
65901,-8.416407,-32.9352
65998,-7.284375,-34.33893
66096,-7.924219,-35.95023
66193,-8.317968,-37.63459
66289,-7.579687,-39.11693
66386,-7.0875,-40.50818
66483,-6.349218,-41.74087
66581,-5.955469,-42.91059
66679,-4.183594,-43.66209
66777,-4.478907,-44.56534
66877,-4.035937,-45.35256
66977,-4.183594,-46.1947
67077,-4.33125,-47.06819
67179,-3.642188,-47.76582
67281,-2.953125,-48.32288
67383,-2.460938,-48.79026
67486,-1.919531,-49.14799
67589,-0.8367188,-49.26511
67692,-0.590625,-49.36855
67795,-0.196875,-49.38913
67897,0.39375,-49.28216
68000,1.132031,-49.02014
68102,1.870313,-48.60993
68204,2.559375,-48.06441
68306,3.592969,-47.29638
68408,4.626562,-46.32049
68510,5.857031,-45.08947
68613,6.792188,-43.68462
68713,5.561719,-42.62634
68811,4.380468,-41.80949
68910,3.789844,-41.08385
69009,5.167969,-39.98881
69109,6.644531,-38.5863
69208,7.284375,-37.09437
69308,7.924219,-35.47701
69405,6.792188,-34.16954
69504,6.595312,-32.8636
69604,7.382813,-31.35153
69703,8.367188,-29.62944
69803,9.351563,-27.7104
69905,9.84375,-25.71551
70006,10.18828,-23.66013
70104,9.351563,-21.82761
70205,9.942188,-19.81483
70305,9.351563,-17.97008
70404,9.696095,-16.01652
70503,10.48359,-13.88227
70602,10.48359,-11.78274
70699,9.991405,-9.807469
70797,9.597656,-7.908441
70894,9.696095,-5.966116
70992,9.400782,-4.099792
71089,9.499218,-2.196343
71186,8.908594,-0.4424868
71283,8.416407,1.215235
71380,8.416407,2.89656
71477,8.170313,4.518751
71575,7.136719,5.896429
71675,6.69375,7.211225
71775,5.90625,8.353879
71874,5.069531,9.326188
71974,5.414063,10.42189
72073,4.725,11.33564
72172,6.004687,12.59407
72272,4.872656,13.52041
72371,2.067187,13.79784
72472,0.4921875,13.81482
72574,0.2953125,13.8589
72676,-0.2953125,13.7719
72777,-0.8859375,13.56583
72879,-1.476563,13.2413
72981,-2.460938,12.70224
73084,-3.494531,11.9534
73186,-5.167969,10.84009
73289,-6.398438,9.499789
73392,-7.333593,7.98616
73494,-7.432032,6.491883
73596,-6.644531,5.198216
73697,-7.136719,3.75086
73798,-6.989062,2.358313
73899,-9.105469,0.4395874
73998,-9.548437,-1.498072
74096,-9.794531,-3.470563
74193,-9.646875,-5.393876
74289,-9.991405,-7.408111
74386,-10.18828,-9.456457
74483,-10.48359,-11.56805
74579,-9.942188,-13.53159
74672,-8.219532,-15.08908
74858,-7.678125,-16.60711
74953,-9.203907,-18.51993
75049,-10.18828,-20.61044
75144,-7.136719,-21.89367
75240,-8.268749,-23.59084
75336,-7.0875,-24.95433
75433,-5.217188,-25.90457
75530,-5.857031,-27.09917
75628,-6.595312,-28.45482
75725,-6.792188,-29.82541
75825,-8.268749,-31.54909
75922,-8.908594,-33.36625
76019,-7.628906,-34.83376
76116,-8.022655,-36.45276
76213,-7.579687,-37.94888
76310,-7.825781,-39.52436
76407,-6.890625,-40.85872
76505,-5.758594,-41.95373
76602,-5.610937,-43.06469
76701,-4.675781,-43.9553
76800,-4.085156,-44.7414
76900,-3.839063,-45.49541
77000,-4.33125,-46.38344
77100,-4.282031,-47.23917
77201,-4.085156,-48.0472
77303,-3.199219,-48.64611
77406,-2.460938,-49.10176
77508,-1.771875,-49.42216
77610,-0.4429688,-49.44786
77713,-0.1476563,-49.45958
77816,0.2953125,-49.37928
77919,0.8859375,-49.17395
78021,1.624219,-48.8135
78124,2.3625,-48.30518
78226,3.297656,-47.60053
78328,4.134375,-46.73272
78430,5.217188,-45.63708
78533,6.398438,-44.2999
78634,5.414063,-43.25806
78731,3.396094,-42.67808
78830,4.478907,-41.73946
78930,5.610937,-40.56116
79029,5.266406,-39.51981
79128,6.250781,-38.22495
79227,6.841406,-36.82544
79326,7.579687,-35.27266
79423,7.382813,-33.80262
79522,7.136719,-32.38727
79621,7.678125,-30.827
79721,8.465626,-29.09558
79822,9.05625,-27.25443
79924,10.04062,-25.19938
80025,10.72969,-23.0184
80125,9.548437,-21.16036
80225,9.450001,-19.27872
80325,9.84375,-17.29219
80424,9.548437,-15.39498
80523,10.72969,-13.19526
80622,11.22187,-10.92362
80720,9.942188,-8.993518
80818,9.499218,-7.118959
80915,9.892969,-5.123683
81013,9.499218,-3.241333
81111,8.367188,-1.622628
81209,8.465626,0.07103193
81307,8.268749,1.715532
81403,8.367188,3.392995
81500,8.022655,4.981419
81598,7.136719,6.365747
81697,6.398438,7.607721
81796,5.217188,8.59367
81897,5.020312,9.584499
81996,4.675781,10.50257
82096,4.921875,11.49708
82197,5.069531,12.51857
82297,4.282031,13.33906
82396,1.96875,13.62303
82498,1.378125,13.86353
82599,0.196875,13.84665
82701,-0.2953125,13.76089
82803,-0.8859375,13.55492
82905,-1.673438,13.18233
83007,-2.805469,12.56751
83109,-3.839063,11.74881
83212,-5.217188,10.63902
83315,-6.595312,9.253102
83418,-7.973438,7.592116
83522,-7.776563,6.040883
83621,-5.709375,4.996862
83722,-6.890625,3.571677
83822,-8.317968,1.839146
83921,-8.71172,0.07326639
84021,-9.400782,-1.840538
84119,-9.745312,-3.808386
84216,-10.04062,-5.832152
84312,-10.18828,-7.878108
84407,-10.04062,-9.879766
84504,-10.33594,-11.96053
84600,-10.08984,-13.9677
84695,-8.760937,-15.65388
84789,-8.957813,-17.44995
84883,-8.170313,-19.04574
84978,-7.727344,-20.56674
85072,-6.004687,-21.68129
85168,-7.727344,-23.303
85264,-6.792188,-24.62229
85360,-6.004687,-25.78275
85457,-4.528125,-26.61496
85554,-6.250781,-27.94161
85651,-6.3,-29.20984
85749,-7.776563,-30.83544
85846,-8.022655,-32.45703
85944,-7.382813,-33.90495
86042,-8.121094,-35.56217
86139,-8.071875,-37.1767
86237,-7.0875,-38.54732
86334,-6.742969,-39.87594
86431,-6.398438,-41.1377
86528,-6.152344,-42.35521
86626,-5.167969,-43.34093
86725,-4.232813,-44.14022
86825,-3.592969,-44.82569
86925,-4.035937,-45.65096
87024,-4.33125,-46.53222
87124,-4.626562,-47.47231
87225,-3.396094,-48.09615
87327,-3.297656,-48.74712
87429,-2.165625,-49.12862
87532,-0.984375,-49.26804
87634,-0.9351563,-49.44868
87737,-0.39375,-49.50257
87839,0.0984375,-49.45892
87942,0.6398437,-49.30484
88044,1.132031,-49.05416
88146,2.017969,-48.60853
88249,2.903906,-47.98442
88351,4.035937,-47.12262
88453,4.921875,-46.09401
88556,6.152344,-44.80544
88659,7.235156,-43.30497
88759,5.414063,-42.30182
88860,5.364843,-41.23701
88959,4.774219,-40.31038
89058,5.610937,-39.15152
89157,6.546094,-37.79586
89256,7.284375,-36.30066
89354,8.170313,-34.62233
89453,7.185938,-33.22826
89552,6.69375,-31.91573
89650,7.48125,-30.38462
89750,8.6625,-28.59484
89851,9.253124,-26.71264
89953,9.892969,-24.70295
90054,9.597656,-22.7948
90155,9.745312,-20.83985
90255,8.908594,-19.09681
90355,10.04062,-17.03956
90454,9.745312,-15.10064
90553,10.2375,-13.03089
90651,10.48359,-10.92076
90748,9.991405,-8.944911
90846,9.548437,-7.057811
90944,9.942188,-5.052489
91041,9.696095,-3.123615
91139,9.05625,-1.343631
91237,8.810156,0.4044395
91334,8.465626,2.080093
91431,8.317968,3.735328
91530,7.235156,5.131119
91629,6.742969,6.452891
91728,6.398438,7.714478
91827,5.266406,8.713492
